Column,Data_Type,Unique_Values,Missing_Values
Farm_ID,object,4000,0
State,object,8,0
District,object,10,0
Crop,object,8,0
Season,object,3,0
Farm_Area_Hectares,float64,1370,0
Rainfall_mm,float64,3257,48
Avg_Temperature_C,float64,204,0
Humidity_pct,float64,573,0
Sunlight_Hours_Day,float64,71,0
Soil_pH,float64,313,0
Soil_Moisture_pct,float64,344,40
Nitrogen_kg_ha,float64,1229,0
Phosphorus_kg_ha,float64,760,0
Potassium_kg_ha,float64,1137,0
Irrigation_Method,object,4,0
Fertilizer_kg_ha,float64,1881,0
Pesticide_Litre_ha,float64,851,0
Seed_Quality_Score,float64,36,0
Yield_Tonnes_Ha,float64,739,32
Production_Tonnes,float64,2528,0
Market_Price_INR_Tonne,int64,3760,0
Total_Cost_INR,int64,3995,0
Revenue_INR,int64,3993,0
Profit_INR,int64,3992,0
Water_Used_m3,int64,3407,0
Water_Efficiency_t_per_1000m3,float64,3127,0
Disease_Pest_Risk_pct,float64,597,0
