,Farm_Area_Hectares,Rainfall_mm,Avg_Temperature_C,Humidity_pct,Sunlight_Hours_Day,Soil_pH,Soil_Moisture_pct,Nitrogen_kg_ha,Phosphorus_kg_ha,Potassium_kg_ha,Fertilizer_kg_ha,Pesticide_Litre_ha,Seed_Quality_Score,Yield_Tonnes_Ha,Production_Tonnes,Market_Price_INR_Tonne,Total_Cost_INR,Revenue_INR,Profit_INR,Water_Used_m3,Water_Efficiency_t_per_1000m3,Disease_Pest_Risk_pct
Farm_Area_Hectares,1.0,0.0072557088571687575,0.03686996267786237,0.0004713191563512549,0.001821438324545607,0.009856889345992695,0.004033198660967693,0.013658438600337362,-0.006624725952705248,0.00019533577813485813,0.014975044250932424,-0.005206981366837614,0.015236296039056943,0.03020319560672201,0.1978416743065439,-0.02157138142559339,0.9622113703927831,0.5433641332145721,0.11524097068022579,0.5760146712124856,0.02893030838683197,0.025963480931798098
Rainfall_mm,0.0072557088571687575,1.0,0.19849183201452558,0.5210685307083671,-0.36277869610201274,0.01665747755565527,0.5089405366115273,0.007460424984865279,0.020940187988294275,0.031372988893755456,0.024602294750624365,0.0040580779171005095,-0.018580879736317633,0.03095099355165076,0.024447402275640337,0.000639092995576421,0.013041182238651979,0.09814564236105426,0.10764752863101715,0.0022403692958823094,0.05810175696027579,0.6217618552755415
Avg_Temperature_C,0.03686996267786237,0.19849183201452558,1.0,0.13813602613879244,-0.03386256061549646,0.029988414601560234,0.08400122632152564,0.018706592934600412,0.008508388950219542,0.022993188045259086,0.015860660681825848,0.006656867072575127,-0.03194274905077438,0.009996320546703585,0.007346157261324112,0.0029511561028659904,0.04103033265731031,0.026702906792385555,0.009042606450980742,0.02299526934111887,0.00653365609030859,0.24561313710010096
Humidity_pct,0.0004713191563512549,0.5210685307083671,0.13813602613879244,1.0,-0.29729763432505946,0.028446767586493678,0.4464703739090701,0.0011979736089601204,-0.0059634715421830135,-0.003070423816594028,0.02462293661273303,-0.004027978134427009,-0.045597517721242264,0.012297441843645604,0.0036139102516503773,0.0002616233321771756,0.006023140103865677,0.057358483380524725,0.06377495967259388,-0.00208576989923858,0.02616930149587618,0.5450929489749534
Sunlight_Hours_Day,0.001821438324545607,-0.36277869610201274,-0.03386256061549646,-0.29729763432505946,1.0,-0.017805944422937793,-0.30284596621262766,0.009919736041877665,0.0015435142979913273,-0.01440678172597602,-0.013073263993991184,-0.017237574811396747,0.021256581684430866,-0.015341101023909825,-0.023504399221591005,-0.0006955055475169795,-0.000655280149012627,-0.047216093683061,-0.05482209386411623,-0.0057169446060600405,-0.02138571611798325,-0.2532510482521815
Soil_pH,0.009856889345992695,0.01665747755565527,0.029988414601560234,0.028446767586493678,-0.017805944422937793,1.0,0.03118336345680113,0.006285733953214906,0.016620146171621542,-0.019406915915155885,-0.010591300340409364,-0.010134946890831675,-0.004181194189422996,-0.020671587889240606,-0.012512480823072583,0.02222624578146806,0.00530177971628834,-0.00879786167574728,-0.013144741999554345,-0.022859351012745152,-0.01008671483541986,0.03114073584564158
Soil_Moisture_pct,0.004033198660967693,0.5089405366115273,0.08400122632152564,0.4464703739090701,-0.30284596621262766,0.03118336345680113,1.0,0.008884362586264754,0.01340567506486065,0.007795581243863715,0.0087818986674462,-0.023159259894999885,-0.019556265867460638,0.010999346063015867,0.004786789382135015,0.016913505524428826,0.0027414634196757134,0.0793796209885891,0.09128109486827561,0.0031832237147955025,0.027776318959833977,0.37554718114070745
Nitrogen_kg_ha,0.013658438600337362,0.007460424984865279,0.018706592934600412,0.0011979736089601204,0.009919736041877665,0.006285733953214906,0.008884362586264754,1.0,0.01019885005544497,0.010490236633130017,-0.032439624543601504,0.0142798205690743,0.014895965309209683,0.05314888582571518,0.0481818617624723,-0.022594524237900333,0.01189985472925314,0.07825176586778364,0.08501630979743263,0.02212703295313303,0.054895504650841684,-0.011502512396299253
Phosphorus_kg_ha,-0.006624725952705248,0.020940187988294275,0.008508388950219542,-0.0059634715421830135,0.0015435142979913273,0.016620146171621542,0.01340567506486065,0.01019885005544497,1.0,0.0028467663895849547,0.012904861480546915,-0.029941982074801102,-0.007575335795840826,0.04794093313840536,0.03495662319509006,-0.005173521607637216,-0.016508486658354585,0.03494017128301322,0.04974742401842675,-0.0007519201693818422,0.057129306991191564,0.032060802792397404
Potassium_kg_ha,0.00019533577813485813,0.031372988893755456,0.022993188045259086,-0.003070423816594028,-0.01440678172597602,-0.019406915915155885,0.007795581243863715,0.010490236633130017,0.0028467663895849547,1.0,0.01725352305042523,-0.004675005390382728,0.006862171964904313,0.0033823261184131224,0.0044720910457843365,0.0075715024224424655,0.0034307650723988887,0.028278057584797178,0.03119223904100523,0.0016668938239796567,0.006574719912161353,0.013402584157461988
Fertilizer_kg_ha,0.014975044250932424,0.024602294750624365,0.015860660681825848,0.02462293661273303,-0.013073263993991184,-0.010591300340409364,0.0087818986674462,-0.032439624543601504,0.012904861480546915,0.01725352305042523,1.0,-0.0011777747243974885,0.016144215898780238,1.771270369608416e-05,0.0010233576499649021,-0.0009617002733562253,0.14735267951461997,0.0051757702874318514,-0.07354237085001426,0.0008954457861218756,0.005076524721095661,0.01785136649553274
Pesticide_Litre_ha,-0.005206981366837614,0.0040580779171005095,0.006656867072575127,-0.004027978134427009,-0.017237574811396747,-0.010134946890831675,-0.023159259894999885,0.0142798205690743,-0.029941982074801102,-0.004675005390382728,-0.0011777747243974885,1.0,-0.0014623554355244664,-0.007779075725186487,-0.009021392244596657,0.007342061499528536,0.04655980121161643,-0.0004760603897665141,-0.02570500936905489,0.002177289351771166,-0.006330202761717048,-0.4651834079009817
Seed_Quality_Score,0.015236296039056943,-0.018580879736317633,-0.03194274905077438,-0.045597517721242264,0.021256581684430866,-0.004181194189422996,-0.019556265867460638,0.014895965309209683,-0.007575335795840826,0.006862171964904313,0.016144215898780238,-0.0014623554355244664,1.0,-0.007208500583094002,-0.00038689099646531475,0.01195969245667654,0.022033391721696268,0.019116218938449836,0.010437873377670647,0.01702039328267832,-0.012030580294523217,-0.024601502507544764
Yield_Tonnes_Ha,0.03020319560672201,0.03095099355165076,0.009996320546703585,0.012297441843645604,-0.015341101023909825,-0.020671587889240606,0.010999346063015867,0.05314888582571518,0.04794093313840536,0.0033823261184131224,1.771270369608416e-05,-0.007779075725186487,-0.007208500583094002,1.0,0.8828128675727284,-0.3826070074612074,0.03062228919621271,0.4321518710371819,0.4884660989684228,0.3862938118886723,0.9125675009144051,0.014291575329120737
Production_Tonnes,0.1978416743065439,0.024447402275640337,0.007346157261324112,0.0036139102516503773,-0.023504399221591005,-0.012512480823072583,0.004786789382135015,0.0481818617624723,0.03495662319509006,0.0044720910457843365,0.0010233576499649021,-0.009021392244596657,-0.00038689099646531475,0.8828128675727284,1.0,-0.3375310702624207,0.19315819138086537,0.5635050342569866,0.5541717534615423,0.5155568672701036,0.8121425496724581,0.013961402025666942
Market_Price_INR_Tonne,-0.02157138142559339,0.000639092995576421,0.0029511561028659904,0.0002616233321771756,-0.0006955055475169795,0.02222624578146806,0.016913505524428826,-0.022594524237900333,-0.005173521607637216,0.0075715024224424655,-0.0009617002733562253,0.007342061499528536,0.01195969245667654,-0.3826070074612074,-0.3375310702624207,1.0,-0.02229378971072182,0.18233814082862979,0.2251193901998103,-0.3368831656208782,-0.3725920718658366,-0.0004540995784222322
Total_Cost_INR,0.9622113703927831,0.013041182238651979,0.04103033265731031,0.006023140103865677,-0.000655280149012627,0.00530177971628834,0.0027414634196757134,0.01189985472925314,-0.016508486658354585,0.0034307650723988887,0.14735267951461997,0.04655980121161643,0.022033391721696268,0.03062228919621271,0.19315819138086537,-0.02229378971072182,1.0,0.5207094462782149,0.06835598155697745,0.5759782651160492,0.020402492998900942,0.005922402321169295
Revenue_INR,0.5433641332145721,0.09814564236105426,0.026702906792385555,0.057358483380524725,-0.047216093683061,-0.00879786167574728,0.0793796209885891,0.07825176586778364,0.03494017128301322,0.028278057584797178,0.0051757702874318514,-0.0004760603897665141,0.019116218938449836,0.4321518710371819,0.5635050342569866,0.18233814082862979,0.5207094462782149,1.0,0.8873306756987918,0.4290529510626818,0.42830200859514617,0.06057072663854848
Profit_INR,0.11524097068022579,0.10764752863101715,0.009042606450980742,0.06377495967259388,-0.05482209386411623,-0.013144741999554345,0.09128109486827561,0.08501630979743263,0.04974742401842675,0.03119223904100523,-0.07354237085001426,-0.02570500936905489,0.010437873377670647,0.4884660989684228,0.5541717534615423,0.2251193901998103,0.06835598155697745,0.8873306756987918,1.0,0.19027756179048408,0.4894873007614453,0.06758315232306415
Water_Used_m3,0.5760146712124856,0.0022403692958823094,0.02299526934111887,-0.00208576989923858,-0.0057169446060600405,-0.022859351012745152,0.0031832237147955025,0.02212703295313303,-0.0007519201693818422,0.0016668938239796567,0.0008954457861218756,0.002177289351771166,0.01702039328267832,0.3862938118886723,0.5155568672701036,-0.3368831656208782,0.5759782651160492,0.4290529510626818,0.19027756179048408,1.0,0.21708057249489915,0.01148471151886594
Water_Efficiency_t_per_1000m3,0.02893030838683197,0.05810175696027579,0.00653365609030859,0.02616930149587618,-0.02138571611798325,-0.01008671483541986,0.027776318959833977,0.054895504650841684,0.057129306991191564,0.006574719912161353,0.005076524721095661,-0.006330202761717048,-0.012030580294523217,0.9125675009144051,0.8121425496724581,-0.3725920718658366,0.020402492998900942,0.42830200859514617,0.4894873007614453,0.21708057249489915,1.0,0.029252918501139483
Disease_Pest_Risk_pct,0.025963480931798098,0.6217618552755415,0.24561313710010096,0.5450929489749534,-0.2532510482521815,0.03114073584564158,0.37554718114070745,-0.011502512396299253,0.032060802792397404,0.013402584157461988,0.01785136649553274,-0.4651834079009817,-0.024601502507544764,0.014291575329120737,0.013961402025666942,-0.0004540995784222322,0.005922402321169295,0.06057072663854848,0.06758315232306415,0.01148471151886594,0.029252918501139483,1.0
