,count,mean,std,min,25%,50%,75%,max
Farm_Area_Hectares,4000.0,7.888265,4.223763740410761,0.5,4.26,7.895,11.65,15.0
Rainfall_mm,4000.0,600.922825,287.1933805399697,80.0,371.57500000000005,582.0,831.975,1395.2
Avg_Temperature_C,4000.0,26.818900000000003,3.8181798562081366,16.2,23.9,26.9,29.6,39.7
Humidity_pct,4000.0,63.2105,11.96083421583899,25.0,54.775,63.0,71.9,95.0
Sunlight_Hours_Day,4000.0,7.323049999999999,1.1211859622696396,3.5,6.6,7.3,8.1,11.0
Soil_pH,4000.0,6.70101,0.6414609480997142,5.2,6.26,6.69,7.14,8.4
Soil_Moisture_pct,4000.0,26.507150000000003,6.678837143837128,8.0,21.8,26.4,31.2,47.0
Nitrogen_kg_ha,4000.0,120.25082499999999,31.216451688707085,40.0,98.5,120.1,141.225,220.0
Phosphorus_kg_ha,4000.0,57.781850000000006,17.01507445670432,15.0,46.2,57.5,69.4,120.0
Potassium_kg_ha,4000.0,104.76004999999999,27.742680621733722,30.0,86.2,105.1,123.6,200.0
Fertilizer_kg_ha,4000.0,186.036,60.260583207202025,40.0,143.975,186.25,227.2,400.0
Pesticide_Litre_ha,4000.0,5.0709349999999995,1.978879245063133,0.5,3.69,5.12,6.4,12.08
Seed_Quality_Score,4000.0,0.8261375000000001,0.10174671587966894,0.65,0.74,0.83,0.91,1.0
Yield_Tonnes_Ha,4000.0,5.242349999999999,13.311548527821701,0.3,1.05,1.74,2.83,101.44
Production_Tonnes,4000.0,43.246210000000005,126.88052096356594,0.15,5.02,11.77,24.355,1424.4
Market_Price_INR_Tonne,4000.0,44714.16625,30266.16192202909,2594.0,21429.25,25913.0,68279.0,131240.0
Total_Cost_INR,4000.0,526303.583,294419.14091065776,26826.0,274577.5,519082.5,761996.5,1349990.0
Revenue_INR,4000.0,637860.048,636974.7100537781,6107.0,207517.25,456830.5,836874.75,5080900.0
Profit_INR,4000.0,111556.465,545081.8905089505,-1019223.0,-148731.75,3673.0,216187.75,4345421.0
Water_Used_m3,4000.0,6045.57025,5572.9443060311005,128.0,2268.75,4435.0,7829.75,40902.0
Water_Efficiency_t_per_1000m3,4000.0,5.385214249999999,8.838100836573789,0.135,1.661,2.9375,5.15025,79.8
Disease_Pest_Risk_pct,4000.0,46.365875,12.424417069595451,5.0,37.3,46.4,54.9,88.9
